Year,Month,Day,Daily_GHI_kWh_per_m2
2022,6,1,340.792
2022,6,2,138.000
2022,6,3,385.250
2022,6,4,363.167
2022,6,5,246.750
2022,6,6,82.083
2022,6,7,174.708
2022,6,8,141.000
2022,6,9,427.250
2022,6,10,128.875
2022,6,11,362.000
2022,6,12,260.167
2022,6,13,347.792
2022,6,14,321.917
2022,6,15,344.583
2022,6,16,355.125
2022,6,17,178.125
2022,6,18,454.167
2022,6,19,449.000
2022,6,20,443.458
2022,6,21,421.708
2022,6,22,357.875
2022,6,23,414.458
2022,6,24,377.125
2022,6,25,295.917
2022,6,26,89.375
2022,6,27,322.042
2022,6,28,364.833
2022,6,29,418.167
2022,6,30,220.042
2022,7,1,341.083
2022,7,2,235.208
2022,7,3,200.333
2022,7,4,197.750
2022,7,5,256.250
2022,7,6,139.625
2022,7,7,117.375
2022,7,8,301.583
2022,7,9,96.250
2022,7,10,404.792
2022,7,11,395.000
2022,7,12,257.208
2022,7,13,206.708
2022,7,14,406.333
2022,7,15,277.750
2022,7,16,217.958
2022,7,17,92.000
2022,7,18,52.167
2022,7,19,228.833
2022,7,20,273.833
2022,7,21,328.458
2022,7,22,397.000
2022,7,23,379.333
2022,7,24,196.000
2022,7,25,68.458
2022,7,26,82.292
2022,7,27,204.208
2022,7,28,78.875
2022,7,29,50.208
2022,7,30,76.542
2022,7,31,38.708
2022,8,1,129.542
2022,8,2,260.292
2022,8,3,329.625
2022,8,4,171.083
2022,8,5,46.542
2022,8,6,197.000
2022,8,7,203.542
2022,8,8,170.833
2022,8,9,225.667
2022,8,10,111.375
2022,8,11,239.458
2022,8,12,353.750
2022,8,13,380.958
2022,8,14,218.167
2022,8,15,237.000
2022,8,16,18.917
2022,8,17,205.958
2022,8,18,320.125
2022,8,19,162.333
2022,8,20,75.000
2022,8,21,98.750
2022,8,22,258.042
2022,8,23,274.167
2022,8,24,320.042
2022,8,25,171.000
2022,8,26,216.500
2022,8,27,348.708
2022,8,28,345.583
2022,8,29,164.833
2022,8,30,132.292
2022,8,31,403.917
